# MPC Raceline Trajectory — generated by Raceline-Optimization
# Columns: s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
50.3717338,-23.6270741,-7.2781883,1.9249801,0.2308179,3.5083159,2.9122046
50.5716216,-23.8131045,-7.3516724,1.9680043,0.2006546,3.6704917,3.0265079
50.7715095,-23.9968100,-7.4328480,2.0043268,0.1595776,3.8317664,3.3625780
50.9713973,-24.1765650,-7.5192502,2.0320029,0.1175696,4.0033374,3.7943546
51.1712851,-24.3556849,-7.6105700,2.0509592,0.0702294,4.1885082,4.4161135
51.3711730,-24.5330728,-7.7041691,2.0601036,0.0233052,4.3942071,4.9127863
51.5710608,-24.7081662,-7.7975869,2.0600899,-0.0259302,4.6122736,4.8734010
51.7709486,-24.8872518,-7.8921058,2.0521061,-0.0490895,4.8188521,4.3944071
51.9708365,-25.0643407,-7.9833156,2.0397004,-0.0802071,4.9978107,3.4956811
52.1707243,-25.2417334,-8.0710790,2.0191430,-0.1275534,5.1357181,2.1067806
52.3706121,-25.4227617,-8.1550400,1.9895385,-0.1712945,5.2170720,0.7919212
52.5705000,-25.6072678,-8.2331403,1.9518988,-0.2023878,5.2473261,-0.1247947
52.7703878,-25.7940218,-8.3036897,1.9132415,-0.1720331,5.2425701,0.7205885
52.9702756,-25.9826961,-8.3678973,1.8878017,-0.0722741,5.2699729,3.4358205
53.1701635,-26.1722243,-8.4291149,1.8802786,-0.0151958,5.3987195,4.7155179
53.3700513,-26.3618671,-8.4894149,1.8760658,-0.0362175,5.5705764,2.9679792
53.5699391,-26.5514017,-8.5481035,1.8643604,-0.0836640,5.6760768,-2.5056303
53.7698270,-26.7418242,-8.6036669,1.8433452,-0.1319945,5.5871421,-2.0418889
53.9697148,-26.9362686,-8.6550067,1.8138784,-0.1502551,5.5136068,-2.0307563
54.1696026,-27.1327087,-8.7006103,1.7840409,-0.1469754,5.4394865,-2.2034297
54.3694905,-27.3272650,-8.7399045,1.7569865,-0.1240189,5.3579040,-2.9898471
54.5693783,-27.5262126,-8.7749301,1.7336890,-0.1070751,5.2451756,-3.5886946
