# MPC Raceline Trajectory — generated by Raceline-Optimization
# Columns: s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
23.7976236,10.0661066,-7.9558208,-2.2207796,-0.0040378,12.4772936,2.1780176
23.9976037,10.2252588,-8.0769058,-2.2215829,-0.0039962,12.5121531,2.1605486
24.1975837,10.3843196,-8.1981221,-2.2223779,-0.0039543,12.5466374,2.1432197
24.3975637,10.5432861,-8.3194655,-2.2231645,-0.0039125,12.5807516,2.1260299
24.5975437,10.7021439,-8.4409227,-2.2239427,-0.0038708,12.6145011,2.1089778
24.7975238,10.8609265,-8.5625172,-2.2247126,-0.0038289,12.6478909,2.0920626
24.9975038,11.0196098,-8.6842286,-2.2254742,-0.0037871,12.6809261,2.0752830
25.1974838,11.1781796,-8.8060438,-2.2262273,-0.0037454,12.7136115,2.0586380
25.3974639,11.3366960,-8.9280068,-2.2269722,-0.0037034,12.7459519,2.0421265
25.5974439,11.4951024,-9.0500721,-2.2277086,-0.0036614,12.7779521,2.0257475
25.7974239,11.6534015,-9.1722396,-2.2284365,-0.0036195,12.8096166,2.0094998
25.9974040,11.8116526,-9.2945529,-2.2291563,-0.0035778,12.8409500,1.9933824
26.1973840,11.9697885,-9.4169580,-2.2298676,-0.0035354,12.8719567,1.9773943
26.3973640,12.1278288,-9.5394679,-2.2305701,-0.0034912,12.9026412,1.9615344
26.5973441,12.2858177,-9.6621146,-2.2312635,-0.0034418,12.9330075,1.9458018
26.7973241,12.4436896,-9.7848446,-2.2319467,-0.0033915,12.9630601,1.9301953
26.9973041,12.6014839,-9.9076862,-2.2326200,-0.0033419,12.9928029,1.9147140
27.1972841,12.7592175,-10.0306499,-2.2332834,-0.0032921,13.0222401,1.8993569
27.3972642,12.9168403,-10.1536941,-2.2339367,-0.0032422,13.0513756,1.8841229
27.5972442,13.0743982,-10.2768522,-2.2345801,-0.0031922,13.0802132,1.8690111
27.7972242,13.2318881,-10.4001192,-2.2352135,-0.0031423,13.1087569,1.8540206
27.9972043,13.3892730,-10.5234635,-2.2358368,-0.0030922,13.1370104,1.8391502
28.1971843,13.5466037,-10.6469225,-2.2364502,-0.0030421,13.1649774,1.8243992
28.3971643,13.7038612,-10.7704787,-2.2370536,-0.0029920,13.1926614,1.8097664
28.5971444,13.8610193,-10.8941089,-2.2376468,-0.0029418,13.2200662,1.7952510
28.7971244,14.0181323,-11.0178533,-2.2382301,-0.0028916,13.2471951,1.7808520
28.9971044,14.1751687,-11.1416847,-2.2388034,-0.0028413,13.2740517,1.7665686
29.1970845,14.3321112,-11.2655867,-2.2393665,-0.0027910,13.3006393,1.7523996
29.3970645,14.4890161,-11.3896012,-2.2399197,-0.0027407,13.3269612,1.7383444
29.5970445,14.6458427,-11.5136935,-2.2404627,-0.0026904,13.3530208,1.7244018
29.7970245,14.8025810,-11.6378532,-2.2409956,-0.0026399,13.3788211,1.7105711
