# x_m,y_m,w_tr_right_m,w_tr_left_m
1.7600,0.2416,0.5117,0.5117
1.6800,0.2298,0.5070,0.5070
1.6000,0.2206,0.5112,0.5112
1.5200,0.2078,0.5148,0.5148
1.4400,0.2001,0.5297,0.5297
1.3600,0.1933,0.5483,0.5483
1.2800,0.1777,0.5449,0.5449
1.2000,0.1629,0.5297,0.5297
1.1200,0.1511,0.5253,0.5253
1.0400,0.1327,0.5307,0.5307
0.9600,0.1136,0.5318,0.5318
0.8800,0.0988,0.5329,0.5329
0.8000,0.0829,0.5477,0.5477
0.7200,0.0659,0.5689,0.5689
0.6400,0.0587,0.5754,0.5754
0.5600,0.0648,0.5648,0.5648
0.4800,0.0773,0.5555,0.5555
0.4000,0.0867,0.5515,0.5515
0.3200,0.0989,0.5416,0.5416
0.2400,0.1123,0.5275,0.5275
0.1600,0.1247,0.5150,0.5150
0.0800,0.1456,0.5007,0.5007
-0.0000,0.1756,0.4857,0.4857
-0.0800,0.2024,0.4750,0.4750
-0.1600,0.2275,0.4711,0.4711
-0.2400,0.2575,0.4786,0.4786
-0.3200,0.2783,0.4824,0.4824
-0.4000,0.3086,0.4881,0.4881
-0.4835,0.3705,0.4947,0.4947
-0.5493,0.4493,0.4874,0.4874
-0.5755,0.5308,0.4670,0.4670
-0.5924,0.6075,0.4450,0.4450
-0.6139,0.6819,0.4276,0.4276
-0.6269,0.7592,0.4243,0.4243
-0.6297,0.8400,0.4322,0.4322
-0.6292,0.9200,0.4368,0.4368
-0.6325,1.0000,0.4342,0.4342
-0.6374,1.0800,0.4293,0.4293
-0.6421,1.1600,0.4243,0.4243
-0.6468,1.2400,0.4219,0.4219
-0.6507,1.3200,0.4288,0.4288
-0.6500,1.4000,0.4412,0.4412
-0.6483,1.4800,0.4619,0.4619
-0.6553,1.5600,0.4814,0.4814
-0.6778,1.6400,0.4810,0.4810
-0.7172,1.7200,0.4596,0.4596
-0.7601,1.8000,0.4482,0.4482
-0.7996,1.8800,0.4556,0.4556
-0.8421,1.9600,0.4628,0.4628
-0.8947,2.0400,0.4631,0.4631
-0.9462,2.1200,0.4592,0.4592
-0.9910,2.2000,0.4499,0.4499
-1.0294,2.2800,0.4501,0.4501
-1.0633,2.3600,0.4541,0.4541
-1.1010,2.4400,0.4628,0.4628
-1.1413,2.5200,0.4782,0.4782
-1.1772,2.6000,0.4990,0.4990
-1.2073,2.6800,0.5124,0.5124
-1.2346,2.7600,0.5183,0.5183
-1.2592,2.8400,0.5259,0.5259
-1.2792,2.9200,0.5335,0.5335
-1.2918,3.0000,0.5350,0.5350
-1.3009,3.0800,0.5312,0.5312
-1.3136,3.1600,0.5334,0.5334
-1.3210,3.2400,0.5386,0.5386
-1.3200,3.3200,0.5443,0.5443
-1.3200,3.4000,0.5538,0.5538
-1.3212,3.4805,0.5617,0.5617
-1.3129,3.5561,0.5584,0.5584
-1.3042,3.6307,0.5635,0.5635
-1.2919,3.7096,0.5800,0.5800
-1.2775,3.7900,0.5906,0.5906
-1.2650,3.8700,0.5844,0.5844
-1.2491,3.9500,0.5801,0.5801
-1.2158,4.0300,0.5954,0.5954
-1.1815,4.1100,0.6141,0.6141
-1.1448,4.1900,0.6287,0.6287
-1.1066,4.2708,0.6437,0.6437
-1.0453,4.3736,0.6359,0.6359
