# x_m,y_m,w_tr_right_m,w_tr_left_m
7.4400,-1.8917,0.5877,0.5877
7.5200,-1.8256,0.5756,0.5756
7.6001,-1.7738,0.5735,0.5735
7.6754,-1.7102,0.5808,0.5808
7.7511,-1.6353,0.5803,0.5803
7.8248,-1.5597,0.5683,0.5683
7.8933,-1.4800,0.5581,0.5581
7.9586,-1.4000,0.5538,0.5538
8.0189,-1.3200,0.5566,0.5566
8.0734,-1.2400,0.5594,0.5594
8.1156,-1.1600,0.5528,0.5528
8.1412,-1.0800,0.5377,0.5377
8.1567,-1.0000,0.5202,0.5202
8.1699,-0.9200,0.5057,0.5057
8.1851,-0.8400,0.5021,0.5021
8.1967,-0.7600,0.5067,0.5067
8.2117,-0.6800,0.5214,0.5214
8.2303,-0.6000,0.5400,0.5400
8.2374,-0.5200,0.5474,0.5474
8.2336,-0.4400,0.5498,0.5498
8.2215,-0.3600,0.5560,0.5560
8.2085,-0.2800,0.5710,0.5710
8.1945,-0.1996,0.5778,0.5778
8.1630,-0.1198,0.5619,0.5619
8.1007,-0.0532,0.5240,0.5240
8.0445,0.0123,0.5008,0.5008
8.0052,0.0877,0.4971,0.4971
7.9550,0.1578,0.4829,0.4829
7.9029,0.2292,0.4715,0.4715
7.8552,0.3100,0.4684,0.4684
7.7985,0.3900,0.4620,0.4620
7.7523,0.4700,0.4560,0.4560
7.7104,0.5500,0.4522,0.4522
7.6613,0.6300,0.4640,0.4640
7.6021,0.7105,0.4844,0.4844
7.5315,0.7868,0.4908,0.4908
7.4499,0.8607,0.4884,0.4884
7.3738,0.9295,0.4872,0.4872
7.3076,0.9962,0.4938,0.4938
7.2385,1.0635,0.5040,0.5040
7.1607,1.1339,0.5187,0.5187
7.0800,1.2095,0.5359,0.5359
7.0000,1.2808,0.5444,0.5444
6.9200,1.3385,0.5441,0.5441
6.8400,1.3888,0.5467,0.5467
6.7600,1.4475,0.5412,0.5412
6.6800,1.5049,0.5327,0.5327
6.6000,1.5591,0.5132,0.5132
6.5200,1.6057,0.4938,0.4938
6.4400,1.6440,0.4968,0.4968
6.3600,1.6815,0.5040,0.5040
6.2800,1.7222,0.5050,0.5050
6.2000,1.7671,0.5050,0.5050
6.1200,1.8071,0.5066,0.5066
6.0400,1.8496,0.5071,0.5071
5.9382,1.9052,0.5120,0.5120
